# mfp(m) k_l(Wm-1K-1)
1.415323832536451003e-18 6.951394127825009225e-23
1.465487689771278230e-18 6.967459357959998094e-23
1.523490385075686528e-18 7.008556144839001951e-23
1.526116953432761430e-18 7.029226939885463658e-23
1.538772154795979336e-18 7.052114395599523380e-23
1.569437860581213570e-18 7.055449651805767210e-23
1.602913252639512644e-18 7.081381116487120450e-23
1.603604584094767480e-18 7.100794385070138279e-23
1.629719614940995911e-18 7.153266554847012232e-23
1.637087478421675671e-18 7.276404289376722549e-23
1.648719040292187297e-18 7.569277481735693663e-23
1.667302489029523351e-18 7.709306993231824018e-23
1.682219196715696469e-18 7.759983920957395516e-23
1.701011302489876275e-18 8.151183958693619668e-23
1.789124352232828531e-18 8.193980586185336766e-23
1.809877332654213893e-18 8.206656138989172025e-23
1.845654155100320184e-18 8.253451218359489474e-23
1.865700132006816014e-18 8.304790883168618396e-23
1.868367522441830969e-18 8.441563077033420740e-23
1.868844016190281274e-18 8.472008623287177320e-23
1.922514839386658186e-18 8.553708912897367291e-23
1.981249597188357249e-18 8.559982935538532338e-23
1.996511388010872191e-18 8.607363048748688609e-23
2.004413076378350343e-18 8.652862564453328285e-23
2.040927768842931099e-18 8.666402111641164960e-23
2.053308006052718673e-18 8.702624902842183700e-23
2.153871355908724141e-18 9.047522007068233987e-23
2.159259864581025881e-18 9.309161660460204289e-23
2.165444768037802801e-18 9.340538250923739772e-23
2.180753601189444304e-18 9.478092082654445987e-23
2.191574692006224523e-18 9.499498987810238743e-23
2.200186371383538014e-18 9.658046051334863204e-23
2.210137743663222437e-18 9.698200199783091933e-23
2.235982817101726392e-18 9.756911345739539901e-23
2.346185760725137074e-18 9.835431768839294421e-23
2.362963872472091933e-18 1.058206044071724456e-22
2.382262383093506912e-18 1.061702648659798475e-22
2.384972199350726140e-18 1.070674541434859757e-22
2.463346261405580128e-18 1.081612823262052987e-22
2.509120201625384646e-18 1.091409270563639208e-22
2.528209678288675307e-18 1.111513513910726636e-22
2.551635052643713669e-18 1.114772906806846735e-22
2.573772728284734993e-18 1.120410060132276619e-22
2.638647564864003463e-18 1.147930486300429279e-22
2.763550881740911170e-18 1.166018747940614254e-22
2.780414520868916678e-18 1.170452878243645117e-22
2.786961345807129133e-18 1.178131451243975633e-22
2.805378460515891807e-18 1.282863436098452537e-22
2.820856428703152559e-18 1.296526748600258435e-22
2.918635301013461662e-18 1.317686922834732347e-22
2.932553608525999903e-18 1.407095119071442165e-22
2.984453047611946854e-18 1.409305564268500646e-22
3.045972029532123874e-18 1.417739356538526288e-22
3.060896454658892696e-18 1.424822532030432299e-22
3.086590094684680361e-18 1.431675876462001026e-22
3.160465217092670298e-18 1.451905642885932703e-22
3.208017496137097716e-18 1.458049249536305753e-22
3.238312052264376762e-18 1.471223457453334063e-22
3.248177288631647617e-18 1.480776049976866506e-22
3.368804185512616245e-18 1.489774270627318409e-22
3.394724007326850689e-18 1.496371742261367805e-22
3.483634190758989186e-18 1.504099112003717509e-22
3.524728007488425092e-18 1.512837575110605902e-22
3.536859470272244946e-18 1.531886383113276073e-22
3.543042449768808463e-18 1.567217357295663493e-22
3.553065761790148838e-18 1.645495352948221707e-22
3.584610016129544557e-18 1.858570271225591837e-22
3.594440221085335730e-18 1.868540134417492559e-22
3.598109646925485467e-18 1.877551299655716603e-22
3.621238487414101085e-18 1.913921022271606148e-22
3.650425513195241038e-18 1.916030477645401572e-22
3.784886918200010571e-18 1.934219041747506621e-22
3.803947440761490415e-18 1.951800459357497367e-22
3.824766267030457473e-18 1.978238295175337837e-22
3.868536899310179538e-18 2.073143466087695070e-22
3.875890596590805060e-18 2.108223723385063814e-22
3.890064756204940756e-18 2.119892766537601225e-22
3.900157001556688013e-18 2.169778284266087067e-22
3.926695898749077752e-18 2.174973033362141830e-22
3.977658918583195944e-18 2.177508756426152602e-22
3.982535222537043573e-18 2.212820896357635775e-22
4.056734485387402770e-18 2.217943820361390064e-22
4.079674920368015125e-18 2.265759339340075576e-22
4.089940875484194171e-18 2.279580944051430476e-22
4.150670775532789576e-18 2.302290832520567987e-22
4.224560291511307969e-18 2.326503681325120193e-22
4.308039118696274984e-18 2.351786273628374039e-22
4.351875848040561428e-18 2.415189108149511614e-22
4.623604438816958836e-18 2.440285930628635939e-22
