# Frequency(THz) k_l(Wm-1K-1)
1.104619003166279256e+00 4.884653791638984721e+00
1.106829847938860523e+00 4.894067134637906769e+00
1.111124698215314011e+00 4.901693519655342612e+00
1.112964556748932354e+00 4.902057158009871962e+00
1.114062465001816937e+00 4.912153510273237877e+00
1.114322803626053515e+00 4.920065500502431632e+00
1.115705607124430232e+00 4.932426739270960425e+00
1.116124056694895117e+00 4.932426739270960425e+00
1.118440348968290809e+00 4.952071122315066631e+00
1.120860942252636105e+00 4.955232531827210352e+00
1.121307486751391913e+00 4.969975749143496380e+00
1.122814086052260629e+00 4.971264097098810453e+00
1.123159353611215439e+00 4.971264097098810453e+00
1.123423740789391445e+00 5.002033935606188031e+00
1.127363169449304037e+00 5.010638311173188697e+00
1.129402966816904330e+00 5.037467856473348604e+00
1.131209237296229242e+00 5.054955464836704770e+00
1.131348537127875309e+00 5.055292480631885965e+00
1.132202091244244757e+00 5.093591589799592256e+00
1.132338295633641634e+00 5.102258443411999522e+00
1.134856736692799073e+00 5.104018428179494471e+00
1.139996167087219625e+00 5.104018428179494471e+00
1.145874356211000977e+00 5.112686862909368912e+00
1.147778642919172976e+00 5.138091863627717970e+00
1.149369469311085856e+00 5.138530350183306616e+00
1.152956497772734901e+00 5.411846925644097084e+00
1.157455372358624279e+00 5.948787022224183652e+00
1.161833867867469561e+00 5.953907080717701028e+00
1.163461519815605527e+00 5.980526159089677662e+00
1.165997861462365170e+00 6.028574570556462398e+00
1.167024627201286524e+00 6.061975087003910190e+00
1.167780099955812556e+00 6.094553283617551109e+00
1.169280043356097476e+00 6.123460045397990825e+00
1.169685839396013893e+00 6.559197177302948489e+00
1.170451687468648805e+00 6.645225330449632928e+00
1.171211575027531593e+00 6.660046610334642736e+00
1.173083563832515219e+00 6.674845168293405351e+00
1.175692899765664157e+00 6.677964674018164182e+00
1.178773882559357444e+00 6.682641272987502212e+00
1.180309710580718541e+00 6.705383883898313968e+00
1.187285587683727606e+00 6.713576406196749780e+00
1.187296749581239208e+00 6.727184082313223179e+00
1.191871695692469535e+00 6.727184082313223179e+00
1.193941563485140689e+00 6.755127170386859170e+00
1.194197946241932540e+00 6.755127170386859170e+00
1.198680871288044347e+00 6.755127170386859170e+00
1.199248595517194538e+00 6.760360333249155751e+00
1.199431333521206122e+00 6.787123488705415042e+00
