# Frequency(THz) k_l(Wm-1K-1)
1.104619003166279256e+00 4.907093933524196316e+00
1.106829847938860523e+00 4.921678796625387875e+00
1.111124698215314011e+00 4.921678796625387875e+00
1.112964556748932354e+00 4.934151494103407920e+00
1.114062465001816937e+00 4.973748779546630416e+00
1.114322803626053515e+00 4.978207187846732218e+00
1.115705607124430232e+00 4.978207187846732218e+00
1.116124056694895117e+00 4.998597942991442444e+00
1.118440348968290809e+00 5.002405454377861105e+00
1.120860942252636105e+00 5.002405454377861105e+00
1.121307486751391913e+00 5.002405454377861105e+00
1.122814086052260629e+00 5.043052215367325175e+00
1.123159353611215439e+00 5.045446437090495451e+00
1.123423740789391445e+00 5.047002297366669943e+00
1.127363169449304037e+00 5.098066979345035499e+00
1.129402966816904330e+00 5.112179024677122818e+00
1.131209237296229242e+00 5.134100287682879404e+00
1.131348537127875309e+00 5.138800404707710712e+00
1.132202091244244757e+00 5.147838039203018745e+00
1.132338295633641634e+00 5.165766748480756121e+00
1.134856736692799073e+00 5.200084084374595683e+00
1.139996167087219625e+00 5.211608054289153635e+00
1.145874356211000977e+00 5.253458548871756228e+00
1.147778642919172976e+00 5.255752479768222685e+00
1.149369469311085856e+00 5.278497270219755677e+00
1.152956497772734901e+00 5.278497270219755677e+00
1.157455372358624279e+00 5.288595318504408560e+00
1.161833867867469561e+00 5.299263499372436570e+00
1.163461519815605527e+00 5.305517874973551429e+00
1.165997861462365170e+00 5.305517874973551429e+00
1.167024627201286524e+00 5.316964938516681727e+00
1.167780099955812556e+00 5.325756644269920237e+00
1.169280043356097476e+00 5.327362878693954862e+00
1.169685839396013893e+00 5.327362878693954862e+00
1.170451687468648805e+00 5.725434885135096685e+00
1.171211575027531593e+00 5.743134752451371838e+00
1.173083563832515219e+00 5.746172466942383039e+00
1.175692899765664157e+00 5.746172466942383039e+00
1.178773882559357444e+00 5.750021427190713297e+00
1.180309710580718541e+00 5.750350342622054356e+00
1.187285587683727606e+00 5.785899882616412526e+00
1.187296749581239208e+00 5.785899882616412526e+00
1.191871695692469535e+00 5.786375824045342675e+00
1.193941563485140689e+00 5.791705836035584198e+00
1.194197946241932540e+00 5.805085045968383817e+00
1.198680871288044347e+00 5.810917976919713013e+00
1.199248595517194538e+00 5.830814432683011361e+00
1.199431333521206122e+00 5.851501558970086059e+00
1.199929869412494687e+00 5.851501558970086059e+00
1.200914942628391380e+00 5.852335307927601704e+00
1.201780313660840704e+00 5.878909145944780867e+00
1.202962153543964741e+00 5.885609695095928018e+00
1.203298686700056352e+00 5.892368120339297022e+00
1.207297268988840822e+00 5.898998623081009640e+00
1.208545943972254788e+00 5.926777888273273120e+00
1.209237023194756011e+00 5.929397387762594285e+00
1.210453307628270192e+00 5.955462402119719556e+00
1.212953990590309949e+00 5.957652851265665461e+00
1.214367013854027455e+00 5.965803455669762556e+00
1.214378777213864558e+00 5.979047662777983163e+00
1.216154874070618508e+00 5.979047662777983163e+00
1.219322719561358959e+00 5.990006523908532721e+00
1.219459926205409328e+00 6.009030464527380211e+00
1.220510894602580887e+00 6.019091898497461735e+00
1.222095747724991854e+00 6.032165326990808651e+00
1.222195792531875380e+00 6.043004490897137870e+00
1.223040868968980677e+00 6.058316738621208231e+00
1.224118605496869128e+00 6.111194527525651843e+00
1.225814158886534999e+00 6.134131023080391820e+00
1.226327460672250513e+00 6.146961828886744250e+00
1.228719692953875509e+00 6.150407116610007385e+00
1.229459372092756908e+00 6.159059220493569242e+00
1.229627043324770463e+00 6.190766271869964754e+00
1.230877740424466182e+00 6.203291754916931744e+00
1.233455654137258550e+00 6.233278794861931260e+00
1.235935138553061696e+00 6.258989312993220366e+00
1.236681748694838934e+00 6.263007195549251449e+00
1.237845175059457237e+00 6.276801161202070212e+00
1.242659136670792419e+00 6.295534375960835760e+00
1.243508417679618283e+00 6.322049182300024661e+00
1.245788172137466177e+00 6.335710395818374252e+00
1.246641623533387921e+00 6.359192141544491861e+00
1.247249226670370081e+00 6.359748665469735052e+00
1.253875669034838047e+00 6.376444139216456364e+00
1.255116298057798563e+00 6.378290072616866091e+00
1.257690647656341421e+00 6.378290072616866091e+00
1.257777919714563986e+00 6.427247458921432788e+00
1.258024782927004814e+00 6.427247458921432788e+00
1.258371446192440013e+00 6.453170946568762112e+00
1.259921257495513425e+00 6.458034444191443235e+00
1.261082159289975246e+00 6.494747030699834056e+00
1.264120757253489158e+00 6.517274925005427377e+00
1.264646606508612825e+00 6.529407123943494540e+00
1.268382780691207357e+00 6.553857852249322491e+00
1.274663277801633354e+00 6.570381754839481836e+00
1.276974205803483642e+00 6.570381754839481836e+00
1.278009907040139614e+00 6.593791156176430412e+00
1.281332146518174175e+00 6.639369609439204289e+00
1.281848088711542433e+00 6.684829613489145395e+00
1.282993341507950413e+00 6.684829613489145395e+00
1.284200929269752933e+00 6.712981112927002059e+00
1.285111991373838025e+00 6.719217076994609350e+00
1.288310781428879448e+00 6.719217076994609350e+00
1.288683042167497961e+00 6.728270387516792184e+00
1.289186327687531053e+00 6.728662371715231849e+00
1.291802785465583137e+00 6.739431669223127308e+00
1.293201264663223604e+00 6.739431669223127308e+00
1.293527565403388868e+00 6.739431669223127308e+00
1.293956444422451391e+00 6.742384156938902251e+00
1.297017239672925371e+00 6.753160835241556192e+00
1.297938135108421154e+00 6.755359634013849757e+00
1.298786096617574382e+00 6.755359634013849757e+00
1.299082633017051069e+00 6.766017455193185981e+00
1.299842869998615980e+00 6.775937796833328086e+00
1.301114453151006378e+00 6.775937796833328086e+00
1.302632526358114440e+00 6.794809658464221691e+00
1.302931978837739369e+00 6.798470119479461893e+00
1.306856557135321673e+00 6.806153869766949249e+00
1.308183026193181497e+00 6.809543128505851861e+00
1.311538265452291352e+00 6.816201074327596920e+00
1.311739519366361240e+00 6.816201074327596920e+00
1.312995406345487392e+00 6.816201074327596920e+00
1.314050472069116182e+00 6.816201074327596920e+00
1.314853338869585331e+00 6.817185100757481742e+00
1.316098873320372453e+00 6.823954957008240285e+00
1.317328377531788997e+00 6.855989267861986924e+00
1.317792413848295485e+00 6.878135987581375232e+00
1.319404925916353610e+00 6.891952032029389663e+00
1.319484154127647191e+00 6.904218269460904445e+00
1.319690605786590476e+00 6.917512262298168402e+00
1.320003111260320328e+00 6.937647499982194432e+00
1.320236383264653091e+00 6.979476024271746404e+00
1.321340904194967525e+00 7.040415806696222134e+00
1.327871965331801851e+00 7.061910824170852585e+00
1.329347357328134027e+00 7.177396649386536431e+00
1.335345442581314490e+00 7.181011431389633159e+00
1.336802014472436850e+00 7.181639918018554170e+00
1.342739511256463070e+00 7.181691115707494966e+00
1.343972637007057491e+00 7.199689950807449890e+00
1.343990016001156862e+00 7.239786172149330845e+00
1.346424884456697280e+00 7.245793488116907710e+00
1.346846606726305406e+00 7.255425621138877901e+00
1.348150219709084663e+00 7.275660925949198443e+00
1.351500529208076840e+00 7.276935699157328408e+00
1.353459498820405171e+00 7.284094164129398585e+00
1.353494191284253079e+00 7.290275833221030233e+00
1.354409404249771409e+00 7.291292902395799302e+00
1.356361405861671532e+00 7.291292902395799302e+00
1.357231360923898844e+00 7.291522193321210210e+00
1.357640762125134737e+00 7.293425152442251758e+00
1.357673338069534497e+00 7.305808525052825075e+00
1.357941318725926161e+00 7.342480188620752024e+00
1.358357520219881209e+00 7.344416081301539556e+00
1.359014622716366860e+00 7.346976809848102974e+00
1.361079344733821195e+00 7.346976809848102974e+00
1.361747003663451583e+00 7.357126994378186957e+00
1.363158782293963700e+00 7.359565477804745903e+00
1.364699348755086250e+00 7.386375600373432881e+00
1.364796504912056507e+00 7.391112567923192600e+00
1.368986882028222718e+00 7.391112567923192600e+00
1.369706083998016855e+00 7.411420087939609047e+00
1.370303247505882061e+00 7.411420087939609047e+00
1.371022547734463970e+00 7.413337336257050048e+00
1.372607173439194250e+00 7.423053749887582597e+00
1.375474675592192497e+00 7.432187177987303883e+00
1.376180754585162980e+00 7.435704237313287557e+00
1.378039289220436059e+00 7.457515853391444516e+00
1.378230668292667938e+00 7.459819029150184022e+00
1.379327689647268596e+00 7.473517058600823049e+00
1.379792003461386196e+00 7.473517058600823049e+00
1.380091398915666234e+00 7.491118197855769267e+00
1.380358505810533654e+00 7.498392762405979184e+00
1.384059809687642639e+00 7.529488366199732496e+00
1.385620308111709109e+00 7.545980522715292516e+00
1.385934603302596546e+00 7.679574563934821185e+00
1.389340421550323335e+00 7.686502175822081284e+00
1.390351422252693814e+00 7.691006904163133484e+00
1.390593102313035789e+00 7.699657882374529194e+00
1.391731843526350376e+00 7.994475193813451952e+00
1.393325673093599670e+00 7.995123586281687622e+00
1.393578120047801017e+00 8.011858118615847957e+00
1.394263953899335773e+00 8.040880684100089937e+00
1.394653700905508220e+00 8.045323999539663262e+00
