# mfp(m) k_l(Wm-1K-1)
1.398613738753852492e-17 7.557172684742777484e-21
1.414086036162104297e-17 7.616040573826401290e-21
1.446415250419030252e-17 7.688172192690077681e-21
1.453515571193812762e-17 8.120188494738824064e-21
1.464438645387270219e-17 8.449039171022025491e-21
1.470958952621887574e-17 8.463687251348102650e-21
1.484474838098209723e-17 8.611677322923072935e-21
1.488575795540285216e-17 8.642286317729816013e-21
1.515636853071738822e-17 8.939239696172115959e-21
1.515771271245172794e-17 9.045909306482792066e-21
1.518017358174061314e-17 9.102178321305975622e-21
1.534736599822823394e-17 9.239317349231835249e-21
1.538204933273025720e-17 9.310344418918517348e-21
1.544370226884005201e-17 9.799921580428079984e-21
1.548068841680992888e-17 1.173846074754360093e-20
1.564413071455743000e-17 1.178238903190192276e-20
1.569519978028075634e-17 1.223967032382531221e-20
1.586649642819626307e-17 1.231994407248584344e-20
1.590662034774685449e-17 1.233501812997311306e-20
1.592482164693570173e-17 1.303999406765639304e-20
1.596263126630382499e-17 1.308904786954083567e-20
1.625234900946981000e-17 1.315575891588292196e-20
1.636075172970658411e-17 1.386446672556890287e-20
1.650460760486656440e-17 1.424220568668185377e-20
1.659586148845617231e-17 1.447500366298488610e-20
1.667224643163518097e-17 1.488153428136559487e-20
1.716330267314863751e-17 1.492604163621205179e-20
1.718253494104354878e-17 1.493567328344321620e-20
1.729326684028082030e-17 1.528818082217135985e-20
1.730996737643550641e-17 1.560284930257310742e-20
1.732440537861522658e-17 1.649670723018951812e-20
1.741390153252776218e-17 1.659482470074686524e-20
1.748411060813614031e-17 1.664194379274047878e-20
1.766202477912935177e-17 1.666275826703347799e-20
1.781024626139716533e-17 1.691261392663864026e-20
1.814299321028151930e-17 1.700399271991689899e-20
1.818575397238118629e-17 1.707667008342873684e-20
1.828802659520667686e-17 1.710168831020300426e-20
1.868557914310920857e-17 1.722697949782139395e-20
1.901185037190368462e-17 1.729097912466728330e-20
1.904462768713129979e-17 1.732316955292330060e-20
1.920255372138854695e-17 1.735881196529641926e-20
1.944685222376682342e-17 1.756884182694637061e-20
1.958523536851008510e-17 1.757403578902577985e-20
2.000297948503964484e-17 1.761441860698330480e-20
2.001160670731555153e-17 1.764465070149790036e-20
2.033749984308272368e-17 1.772636510158959950e-20
